Reporting Parent Railroad Code,Employee Man Hours
GRYR,400511.0
GS,211152.0
GSM,1890768.0
GSWR,502750.0
GSWY,191474.0
GTLS,48163.0
GTRA,211040.0
GU,96816.0
GVSR,156975.0
GWR,853539.0
GWRC,34009.0
GWWL,4498.0
HAL,116368.0
HB,33309.0
HCRR,0.0
HESR,1492704.0
HHRV,99630.0
HIES,250167.0
HIRW,1279.0
HKGX,69638.0
HLLR,1740.0
HMCR,88704.0
HNW,20.0
HOB,24225.0
HOG,307488.0
HOS,84747.0
HPTD,48236.0
HR,13595.0
HRR,184627.0
HRRC,695380.0
HRSX,80244.0
HRT,114251.0
HSR,23781.0
HTR,35289.0
HUTT,7142.0
HVMV,0.0
HVRX,308829.0
HVSR,63706.0
HWRV,30582.0
IAIS,5147070.0
IAMR,48801.0
IANR,2291389.0
IARR,38810.0
IATR,129318.0
IATX,315894.0
ICRK,13060.0
IERR,53900.0
IHB,14682979.0
IHTR,42194.0
ILW,0.0
IMR,8428.0
IMRR,1191791.0
IMSA,401571.0
IN,383346.0
INPR,412276.0
INRD,3489845.0
IORY,2266698.0
IPOK,40885.0
IPTX,29019.0
IPWI,29881.0
IR,1190534.0
IRM,160209.0
IRSS,36016.0
IRYM,0.0
ISRR,830209.0
ISRY,81566.0
ISW,38307.0
ITB,2116.0
ITHR,42917.0
ITKC,166413.0
ITMZ,24574.0
ITSL,1174987.0
JAIL,289674.0
JCAX,28268.0
JCIV,91044.0
JEC,0.0
JERX,0.0
JVRR,67306.0
JXP,45002.0
KAW,662343.0
KBSR,201660.0
KCT,397234.0
KEOK,0.0
KFR,469549.0
KGTR,38538.0
KJR,22930.0
KJRY,485025.0
KNOR,34985.0
KNWA,675946.0
KO,2620476.0
KRM,88988.0
KRR,1413151.0
KRRC,35639.0
KRS,121937.0
KSH,93.0
KSRY,586.0
KT,44708.0
KTR,19950.0
KWT,129159.0
KXCG,7261.0
KXHR,411420.0
KYLE,1300996.0
LACZ,0.0
LAL,752483.0
LAS,1049228.0
LBR,162361.0
LBWR,434687.0
LC,377557.0
LCHD,25968.0
LCSR,61878.0
LDLV,18232.0
LDRR,773975.0
LER,0.0
LERM,0.0
LFIZ,0.0
LI,159738382.0
LIRC,714637.0
LIRR,37914.0
LKP,58885.0
LKRR,70066.0
LLG,450.0
LMIC,653300.0
LNAL,62152.0
LNO,49656.0
LNW,370991.0
LPN,452.0
LRPA,143082.0
LRR,4996.0
LRS,50490.0
LRWN,142106.0
LRWY,153058.0
LRY,49613.0
LS,460432.0
LSI,2367982.0
LSIZ,80745.0
LSMR,9.0
LSMT,32785.0
LSRC,1961227.0
LSRX,121.0
LSX,67604.0
LT,207580.0
LVR,21730.0
LVRR,790627.0
LVRX,584481.0
LW,262.0
LWAT,0.0
LXVR,73442.0
MAA,0.0
MACZ,6576213.0
MAL,150.0
MAN,3221.0
MAPA,0.0
MATA,11422.0
MAUP,83637.0
MAW,22480.0
MBRX,13983.0
MBTA,55607390.0
MCCP,23899.0
MCER,196774.0
MCR,86.0
MCRL,939722.0
MCRY,71621.0
MCSA,45689.0
MDDE,288307.0
MDRY,0.0
MDS,92050.0
MDSN,84278.0
MDW,458796.0
ME,525615.0
MER,5817.0
MERR,78840.0
MET,1043906.0
METC,0.0
METW,0.0
MGRZ,154964.0
MH,236660.0
MHWA,255182.0
MIDH,86805.0
MJ,0.0
MKC,22672.0
MMA,540307.0
MMID,282649.0
MMRR,74151.0
MMT,174033.0
MNA,2472074.0
MNBR,700046.0
MNC,94866.0
MNCW,156234069.0
MNJ,73697.0
MNL,1236.0
MNN,112526.0
MNNR,1980687.0
MNR,1072478.0
MNTX,0.0
MOR,2094.0
MPRN,299095.0
MQT,756454.0
MRA,65871.0
MRAA,7567.0
MRL,24483108.0
MRLS,31123.0
MRMZ,0.0
MRS,25195.0
MRSR,152004.0
MS,200996.0
MSCI,57711.0
MSE,886713.0
MSN,20813.0
MSO,63326.0
MSR,110087.0
MSRW,12736.0
MSTP,82432.0
MSTR,147471.0
MSWY,50802.0
MTBD,150.0
MTNR,1612.0
MVRY,5005.0
MVT,1119.0
MWS,42899.0
NARZ,0.0
NAUG,27876.0
NBER,284890.0
NBMR,219230.0
NCIR,113479.0
NCMX,203361.0
NCRA,56910.0
NCRC,1978479.0
NCSR,1069.0
NCSS,160059.0
NCVA,376564.0
NCYR,426.0
NECR,1874222.0
NEGS,25849.0
NENE,86785.0
NERR,619734.0
NETC,13904.0
NHCR,19243.0
NHN,55373.0
NHRR,313344.0
NHVX,26376.0
NICD,7221871.0
NICX,0.0
NIRC,97909998.0
NJRC,13416.0
NJTR,107480450.0
NKCR,695526.0
NLA,78804.0
NLR,127800.0
NMRX,100483.0
NNBR,12320.0
NNRX,340854.0
NNW,85797.0
NOGC,738404.0
NOKL,65754.0
NOPB,3798106.0
NOW,50767.0
NPDX,8052.0
NPHR,15613.0
NPR,2477812.0
NPRC,3668.0
NPRS,18956.0
NRI,3457.0
NRTX,195830.0
NS,568029048.0
NSCR,1101131.0
NSHR,757375.0
NSR,80552.0
NSSR,161632.0
NSWS,377606.0
NTRY,211822.0
NTZR,70273.0
NVRR,2045217.0
NVSV,64760.0
NWR,73941.0
NYA,1222775.0
NYCT,63372.0
NYLE,62147.0
NYNJ,211500.0
NYOG,108266.0
NYSW,2472512.0
OAR,197060.0
OCSR,41882.0
OCTL,62614.0
OERR,74823.0
OERY,280.0
OHCR,839035.0
OHIC,133665.0
OHIO,38454.0
OHRY,63430.0
OIRR,0.0
OKRX,0.0
OLB,180713.0
OLTX,54596.0
OMID,112768.0
ONWX,15054.0
OPR,15545.0
ORC,2855.0
ORSR,4497.0
OSCR,34403.0
OSRR,169628.0
OTR,7129.0
OTVR,231565.0
OUCH,105251.0
OVR,24.0
OVRR,45643.0
OYLO,3600.0
PAL,6028607.0
PAM,32160.0
PARN,1469816.0
PATH,25632399.0
PBR,166323.0
PBRF,0.0
PBVR,258883.0
PCBX,26004.0
PCC,368752.0
PCJX,79570.0
PCMZ,9981811.0
PCN,99504.0
PESX,8275.0
PEX,14053.0
PGBX,96060.0
PGR,1211417.0
PHL,3741854.0
PHRR,84879.0
PICK,170178.0
PLAX,44751.0
PLL,75502.0
PMR,1981.0
PMSW,125387.0
PN,104223.0
PNR,694941.0
PNRA,5030.0
PNRC,210275.0
PNRW,74591.0
PNW,19415.0
PNWR,4041066.0
POCA,87474.0
POHC,251228.0
POMT,170499.0
POTB,1890.0
POVA,314597.0
PPBD,19038.0
PR,1129190.0
PRSX,18201.0
PRY,3794.0
PSAN,3090.0
PSAP,941632.0
PSBX,333988.0
PSC,2412.0
PSCC,55783.0
PSCG,617285.0
PSRM,0.0
PSRR,159090.0
PSVR,0.0
PSWR,267772.0
PT,159191.0
PTR,56595.0
PTRA,7011014.0
PTRI,103251.0
PUCC,78336.0
PVJR,30317.0
PVRR,456534.0
PVS,59060.0
PW,2646875.0
PWCV,1956.0
QRR,44590.0
RAFX,93349.0
RAJX,108106.0
RALI,62256.0
RARW,88466.0
RASX,2311699.0
RBMN,3475324.0
RBRM,7084.0
RCIB,183515.0
RCPE,2831374.0
RCRY,175304.0
RCXM,615602.0
RERX,19744.0
REVC,9887.0
REXP,42114.0
RIR,2537.0
RJAL,34220.0
RJCA,180255.0
RJCC,1442721.0
RJCD,38415.0
RJCK,274853.0
RJCN,24837.0
RJCP,662802.0
RJCR,1616204.0
RJCS,176611.0
RJCV,261485.0
RJCW,140328.0
RLAX,288903.0
RLCH,24209.0
RLGX,83979.0
RLIX,114316.0
RLLX,34312.0
RLST,29239.0
RMRX,78771.0
RNA,61352.0
RPP,218216.0
RPRC,329638.0
RRC,18545.0
RRRR,72352.0
RRTM,105462.0
RRVW,2418942.0
RRWX,0.0
RSL,15283.0
RSOR,120367.0
RSR,665850.0
RSS,39103.0
RTDC,2368932.0
RTDZ,1389651.0
RTRX,41425.0
RVPR,175586.0
RVSC,501162.0
RVT,69103.0
RWRR,30377.0
RYAL,0.0
SAC,77592.0
SAN,737162.0
SAPT,617307.0
SAV,119588.0
SB,701164.0
SBG,59110.0
SBNX,0.0
SBVR,253736.0
SCAX,10674951.0
SCBG,113217.0
SCH,127.0
SCIH,313748.0
SCR,1163565.0
SCRF,539524.0
SCRS,300243.0
SCRT,0.0
SCRY,840.0
SCS,173159.0
SCTR,105036.0
SCX,22090.0
SCXF,1575938.0
SCXY,60427.0
SDIY,133731.0
SDNX,2755924.0
SDR,935.0
SDTI,2285144.0
SE,28474.0
SEPA,41472935.0
SERA,927865.0
SERX,0.0
SFB,60322.0
SFBR,178265.0
SFRV,2573806.0
SFS,52505.0
SGLR,1044052.0
